,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('IKK', 0), ('miR34', 1)]",1.0,0.2885607946088608,1.0,0.0,0.8523986756518985,0.7047973513037973,0.7114392053911391,0.7047973513037973,0.7047973513037973,0.6842104210502162,0.602698696072008,0.2952026486962027,0.0,0.6476013243481014,0.4430955748048921,0.3903084737591062,0.0705968712827621,-22.142857142857142,0.9867162918253162
"[('MEK', 0), ('miR34', 1)]",1.0,0.5,1.0,0.0,0.5,0.3220005006288386,0.5,0.3220005006288386,0.3220005006288386,0.8573454291469316,0.824981023844127,0.6779994993711613,-1.0,0.8389997496855807,0.7193126004483523,0.6921588725005766,1.2966506904966018,-24.0,0.4366826623685849
"[('AP1', 0), ('miR34', 1)]",1.0,0.2886070081730467,1.0,0.0,0.852321653044922,0.7046433060898443,0.5704643306089844,0.7046433060898443,0.7046433060898443,0.6647391020461397,0.6144220967037359,0.2953566939101557,0.0,0.6476783469550779,0.4305371227696466,0.3979478879257487,0.0715241503430569,-20.714285714285715,0.986500628525782
"[('bcatenin', 0), ('miR34', 1)]",1.0,0.4334431882666201,1.0,0.0,0.6331136234667598,0.1331136234667597,0.5665568117333799,0.1996704352001396,0.0665568117333798,0.8701378498250887,0.8149995809425751,0.8668863765332402,-1.0,0.93344318826662,0.8122242487721922,0.7607558072709966,0.5794701601474419,-46.0,0.7337727530664804
"[('TGFb', 0), ('miR34', 1)]",1.0,0.2885492876117279,1.0,0.0,0.8524178539804534,0.7048357079609069,0.7114507123882721,0.7048357079609069,0.7048357079609069,0.6841958556904776,0.6026828355861505,0.2951642920390931,0.0,0.6475821460195466,0.4430730205257194,0.3902866440380249,0.0703654328304327,-22.142857142857142,0.9867699911452696
"[('Snail', 0), ('miR34', 1)]",1.0,0.2885004307526868,1.0,0.0,0.8524992820788553,0.7049985641577105,0.7114995692473132,0.7049985641577105,0.7049985641577105,0.684134015875496,0.6026154980296399,0.2950014358422895,0.0,0.6475007179211447,0.4429772664336595,0.3901939676046,0.0693803117713153,-22.142857142857142,0.9869979898207948
"[('GLI', 0), ('miR34', 1)]",1.0,0.2887080638406775,1.0,0.0,0.8521532269322042,0.7043064538644084,0.7112919361593225,0.7043064538644084,0.7043064538644084,0.6843968506087663,0.6029017101232494,0.2956935461355916,0.0,0.6478467730677958,0.4433842911646515,0.3905879273804028,0.0735397461440644,-22.142857142857142,0.9860290354101716
"[('NOTCH', 0), ('miR34', 1)]",1.0,0.2885679997869493,1.0,0.0,0.852386667021751,0.7047733340435023,0.7114320002130506,0.7047733340435023,0.7047733340435023,0.6842195413489833,0.6027086273749189,0.2952266659564977,0.0,0.6476133329782489,0.4431096976618638,0.3903221429890167,0.0707416758526649,-22.142857142857142,0.9866826676609032
"[('PI3K', 0), ('miR34', 1)]",1.0,0.2889259577216976,1.0,0.0,0.8517900704638373,0.7035801409276747,0.7110740422783024,0.7035801409276747,0.7035801409276747,0.6846727480685497,0.60320217657604,0.2964198590723252,0.0,0.6482099295361626,0.4438116737808454,0.3910016403744148,0.077831463663177,-22.428571428571427,0.9850121972987446
"[('GSK3b', 0), ('miR34', 1)]",1.0,0.2857142857142857,1.0,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6806139097297726,0.5987849508520959,0.2857142857142857,0.0,0.6428571428571428,0.4375375133977109,0.384933182690633,0.0,-22.142857142857142,1.0
"[('TGFBR', 0), ('miR34', 1)]",1.0,0.2898013823356191,1.0,0.0,0.8503310294406348,0.7006620588812694,0.7101986176643809,0.7006620588812694,0.7006620588812694,0.6857819700397639,0.6044104850026464,0.2993379411187306,0.0,0.6496689705593652,0.4455312665039069,0.3926667375869559,0.0944095977515854,-22.142857142857142,0.9809268824337772
"[('SMAD4', 0), ('miR34', 1)]",1.0,0.5,1.0,0.0,0.682777906624088,0.4082728251238411,0.5,0.4082728251238411,0.4509898369995064,0.8014459413931976,0.7711917166738264,0.5917271748761589,-1.0,0.7958635874380795,0.637841642054879,0.6137634062345624,0.7585368473026182,-22.0,0.7311116264963516
"[('Twist1', 0), ('miR34', 1)]",1.0,0.2885671068649153,1.0,0.0,0.0,0.7047763104502822,0.5704776310450281,0.7047763104502822,0.7047763104502822,0.7239740342313447,0.6691678372920321,0.2952236895497178,0.0,0.6476118447748589,0.4688541598776579,0.4333610175726955,0.0707237352126915,-25.285714285714285,0.9866868346303952
"[('miR34', 1), ('p53', 0)]",1.0,0.0,1.0,0.0,1.0,0.9368991073361432,1.0,1.0,0.9368991073361432,0.5771126385622427,0.4442615163021947,0.0631008926638566,0.0,0.5315504463319283,0.3067644806115569,0.2361474072785308,0.9359360246284232,-29.0,0.6845496568146799
"[('SMAD23', 0), ('miR34', 1)]",1.0,0.2910453760407261,1.0,0.0,0.8482577065987896,0.6965154131975795,0.7089546239592738,0.6965154131975795,0.6965154131975795,0.6873602565312456,0.606130617153756,0.3034845868024205,0.0,0.6517422934012103,0.4479817499845182,0.3950409585244799,0.1164611352068583,-22.142857142857142,0.9751215784766112
