,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
"[('RAS', 1)]",1.0,0.7113581945782304,0.8454327783129214,0.0,0.7045273152607678,0.8522636576303839,0.7045273152607678,0.28864180542176965,0.5772836108435393,0.7812641618447296,0.707244061629377,0.29547268473923216,0.0,0.6477363423696161,0.5060531906177689,0.45810768164244403,-21.571428571428573,0.07222005205669739,0.986338241365075
"[('SMAD23', 0)]",1.0,0.7086411338904159,0.834564535561664,0.0,0.6954704463013867,0.8477352231506933,0.6954704463013867,0.291358866109584,0.582717732219168,0.7800861197832175,0.7073361974065185,0.30452955369861334,0.0,0.6522647768493066,0.5088226988436418,0.4613704869587999,-21.571428571428573,0.12178477778622379,0.9736586248219413
"[('SMAD23', 1)]",0.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4899789435061114,0.3086066999241838,-1.0,1.0,0.0,0.0,0.0,-27.8,0.0,1.0
"[('SMAD4', 0)]",1.0,0.5,0.45053488861463564,0.0,0.40698028220279703,0.6817128378954791,0.40698028220279703,0.5,1.0,0.6301642648602608,0.6020358684519733,0.593019717797203,-1.0,0.7965098588986015,0.5019320496867873,0.47952750463257826,-22.0,0.765186263990554,0.7268513515819167
"[('SMAD4', 1)]",0.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4899789435061114,0.3086066999241838,-1.0,1.0,0.0,0.0,0.0,-29.8,0.0,1.0
"[('Snail', 0)]",1.0,0.7114539467865817,0.8458157871463267,0.0,0.7048464892886056,0.8524232446443027,0.7048464892886056,0.2885460532134183,0.5770921064268366,0.7813047308319925,0.7072401878851431,0.2951535107113944,0.0,0.6475767553556973,0.505954782536238,0.45799230612781466,-21.571428571428573,0.07030034014738036,0.9867850850040478
"[('Snail', 1)]",0.0,0.7114015185081769,0.9932702098524128,1.0,1.0,1.0,0.7114015185081769,0.2885984814918231,0.2885984814918231,0.5315330857442682,0.4330423123629613,-0.7114015185081769,1.0,0.14429924074591155,0.0766998207042294,0.06248767688482918,-24.142857142857142,0.0713533261640408,0.9865404197048255
"[('TAK1', 0)]",1.0,0.7113204100209254,0.8452816400837018,0.0,0.7044013667364182,0.852200683368209,0.7044013667364182,0.2886795899790745,0.577359179958149,0.7812481354264423,0.7072455786266093,0.2955986332635818,0.0,0.6477993166317909,0.5060920082491102,0.45815320252517305,-21.571428571428573,0.07297348079562732,0.9861619134309855
"[('TAK1', 1)]",0.8591410450147323,0.7112884324779015,0.845153729911606,0.14085895498526765,0.7042947749263383,0.8521473874631692,0.7042947749263383,0.2887115675220985,0.577423135044197,0.7691646000367065,0.6876588696399859,0.15484627008839402,0.0,0.577423135044197,0.44413343471821093,0.39707014034846944,-18.714285714285715,0.07360933574945791,0.9860126848968737
"[('TGFBR', 0)]",1.0,0.7101051942185009,0.8404207768740035,0.0,0.700350647395003,0.8501753236975015,0.700350647395003,0.28989480578149907,0.5797896115629981,0.7807273695726231,0.7072908438960046,0.29964935260499703,0.0,0.6498246763024985,0.5073359102130309,0.4596150436864422,-21.571428571428573,0.09612239640443036,0.9804909063530042
